Date,TotalConfirmed
1/22/2020,555
1/23/2020,654
1/24/2020,941
1/25/2020,1434
1/26/2020,2118
1/27/2020,2927
1/28/2020,5578
1/29/2020,6166
1/30/2020,8234
1/31/2020,9927
2/1/2020,12038
2/2/2020,16787
2/3/2020,19881
2/4/2020,23892
2/5/2020,27635
2/6/2020,30794
2/7/2020,34391
2/8/2020,37120
2/9/2020,40150
2/10/2020,42762
2/11/2020,44802
2/12/2020,45221
2/13/2020,60368
2/14/2020,66885
2/15/2020,69030
2/16/2020,71224
2/17/2020,73258
2/18/2020,75136
2/19/2020,75639
2/20/2020,76197
2/21/2020,76819
2/22/2020,78572
2/23/2020,78958
2/24/2020,79561
2/25/2020,80406
2/26/2020,81388
2/27/2020,82746
2/28/2020,84112
2/29/2020,86011
3/1/2020,88369
3/2/2020,90306
3/3/2020,92840
3/4/2020,95120
3/5/2020,97886
3/6/2020,101801
3/7/2020,105847
3/8/2020,109821
3/9/2020,113590
3/10/2020,118620
3/11/2020,125875
3/12/2020,128352
3/13/2020,145219
3/14/2020,156116
3/15/2020,167466
3/16/2020,181603
3/17/2020,197113
3/18/2020,214846
3/19/2020,242616
3/20/2020,272247
3/21/2020,304555
3/22/2020,337018
3/23/2020,378282
3/24/2020,418079
3/25/2020,467723
3/26/2020,529701
3/27/2020,593423
3/28/2020,660824
3/29/2020,720285
3/30/2020,782490
3/31/2020,857608
4/1/2020,932638
4/2/2020,1013458
4/3/2020,1095876
4/4/2020,1176059
4/5/2020,1249737
4/6/2020,1321427
4/7/2020,1396438
4/8/2020,1480200
4/9/2020,1565538
4/10/2020,1657929
4/11/2020,1736025
4/12/2020,1835145
4/13/2020,1905157
4/14/2020,1975557
4/15/2020,2055423
4/16/2020,2151792
4/17/2020,2239628
4/18/2020,2317234
4/19/2020,2400776
4/20/2020,2471727
4/21/2020,2549038
4/22/2020,2624602
4/23/2020,2708403
4/24/2020,2795731
4/25/2020,2881140
4/26/2020,2955033
4/27/2020,3023722
4/28/2020,3097229
4/29/2020,3172287
4/30/2020,3256910
5/1/2020,3343777
5/2/2020,3427584
5/3/2020,3506729
5/4/2020,3583055
5/5/2020,3662691
5/6/2020,3755341
5/7/2020,3845718
